rank,song,pattern
940,"갤럭시 컬랩스",D20
941,"테프리스",S17
942,"체이스 미",D18
943,"더 레버리",D18
944,"건 락",D24
945,"니알라토텝",S17
946,"어 사이트 데 라 루",D19
947,"Re：엔드 오브 어 드림",S12
948,"댄스 위드 미",D18
949,"얼론",D18
950,"로봇 배틀",S22
951,"타이밍",S18
952,"배틀 넘버원",D24
953,"헬파이어",S22
954,"윌 오 더 위스프",D25
955,"미스터 라푸스",S15
956,"김치 핑거즈",S20
957,"크로스 레이 (feat. 月下Lia)",D20
958,"킵 온!",S21
959,"펌프 미 아마데우스",D24
960,"클리너",S17
961,"1949",S23
962,"엑시던트",D20
963,"텔링 포츈 플라워",S17
964,"마왕",S06
965,"소서리스 엘리제",S21
966,"팔랑크스 "RS2018 edit"",S19
967,"저스트 홀드 온 (To All Fighters)",D22
968,"파사칼리아",D22
969,"BS파워 익스플로전",S12
970,"알레그로 콘 뿌오코 - FULL SONG -",S18
971,"유 갓 미 락킹",S17
972,"풀 문",D20
973,"트로피카닉",S07
974,"까르멘 버스",S21
975,"아이올라이트 스카이",S22
976,"천년이 지나서",S12
977,"블랙스완",S12
978,"듀얼 레이싱 <레드 vs 블루>",S18
